time	qcount	min	capt
09:44:49:	0	 0	0 
09:44:49:	1	 0	0 
09:44:49:	2	 0	0 
09:44:50:	3	 0	0 
09:44:50:	4	 0	19501805 
09:44:50:	5	 0	19501805 
09:44:50:	6	 0	19501805 
09:44:50:	7	 0	19501805 
09:44:50:	8	 0	19501805 
09:44:50:	9	 0	40339982 
09:44:50:	10	 0	40339982 
09:44:50:	11	 0	40339982 
09:44:50:	12	 0	40339982 
09:44:50:	13	 0	40339982 
09:44:50:	14	 0	60346257 
09:44:50:	15	 0	61420900 
09:44:50:	16	 0	61420900 
09:44:50:	17	 0	61420900 
09:44:50:	18	 0	61420900 
09:44:50:	19	 0	80418941 
09:44:50:	20	 0	80418941 
09:44:50:	21	 0	80418941 
09:44:51:	22	 0	80418941 
09:44:51:	23	 0	80418941 
09:44:51:	24	 0	101243159 
09:44:51:	25	 0	101243159 
09:44:51:	26	 0	101243159 
09:44:51:	27	 0	101243159 
09:44:51:	28	 0	101243159 
09:44:51:	29	 0	121540683 
09:44:51:	30	 0	121540683 
09:44:51:	31	 0	121540683 
09:44:51:	32	 0	121540683 
09:44:51:	33	 0	121540683 
09:44:51:	34	 0	141514295 
09:44:51:	35	 0	142544231 
09:44:51:	36	 0	142544231 
09:44:51:	37	 0	142544231 
09:44:51:	38	 0	142544231 
09:44:51:	39	 0	161916794 
09:44:52:	40	 0	161916794 
09:44:52:	41	 0	161916794 
09:44:52:	42	 0	161916794 
09:44:52:	43	 0	161916794 
09:44:52:	44	 0	182006205 
09:44:52:	45	 0	183040635 
09:44:52:	46	 0	183040635 
09:44:52:	47	 0	183040635 
09:44:52:	48	 0	183040635 
09:44:52:	49	 0	201666856 
09:44:52:	50	 0	201666856 
09:44:52:	51	 0	201666856 
09:44:52:	52	 0	201666856 
09:44:52:	53	 0	201666856 
09:44:52:	54	 0	222090355 
09:44:52:	55	 0	222090355 
09:44:52:	56	 0	222090355 
09:44:52:	57	 0	222090355 
09:44:53:	58	 0	222090355 
09:44:53:	59	 0	242612396 
09:44:53:	60	 0	242612396 
09:44:53:	61	 0	242612396 
09:44:53:	62	 0	242612396 
09:44:53:	63	 0	242612396 
09:44:53:	64	 0	262727947 
09:44:53:	65	 0	263797591 
09:44:53:	66	 0	263797591 
09:44:53:	67	 0	263797591 
09:44:53:	68	 0	263797591 
09:44:53:	69	 0	282684675 
09:44:53:	70	 0	282684675 
09:44:53:	71	 0	282684675 
09:44:53:	72	 0	282684675 
09:44:53:	73	 0	282684675 
09:44:53:	74	 0	303239107 
09:44:53:	75	 0	303239107 
09:44:54:	76	 0	303239107 
09:44:54:	77	 0	303239107 
09:44:54:	78	 0	303239107 
09:44:54:	79	 0	323320843 
09:44:54:	80	 0	324388120 
09:44:54:	81	 0	324388120 
09:44:54:	82	 0	324388120 
09:44:54:	83	 0	324388120 
09:44:54:	84	 0	343335166 
09:44:54:	85	 0	343335166 
09:44:54:	86	 0	343335166 
09:44:54:	87	 0	343335166 
09:44:54:	88	 0	343335166 
09:44:54:	89	 0	364248481 
09:44:54:	90	 0	364248481 
09:44:54:	91	 0	364248481 
09:44:54:	92	 0	364248481 
09:44:54:	93	 0	364248481 
09:44:54:	94	 0	384339114 
09:44:55:	95	 0	385363264 
09:44:55:	96	 0	385363264 
09:44:55:	97	 0	385363264 
09:44:55:	98	 0	385363264 
09:44:55:	99	 0	403744603 
09:44:55:	100	 0	403744603 
09:44:55:	101	 0	403744603 
09:44:55:	102	 0	403744603 
09:44:55:	103	 0	403744603 
09:44:55:	104	 0	424335110 
09:44:55:	105	 0	424335110 
09:44:55:	106	 0	424335110 
09:44:55:	107	 0	424335110 
09:44:55:	108	 0	424335110 
09:44:55:	109	 0	445056092 
09:44:55:	110	 0	445056092 
09:44:55:	111	 0	445056092 
09:44:56:	112	 0	445056092 
09:44:56:	113	 0	445056092 
09:44:56:	114	 0	465312464 
09:44:56:	115	 0	466421232 
09:44:56:	116	 0	466421232 
09:44:56:	117	 0	466421232 
09:44:56:	118	 0	466421232 
09:44:56:	119	 0	466421232 
09:44:56:	120	 0	487134518 
09:44:56:	121	 0	487134518 
09:44:56:	122	 0	487134518 
09:44:56:	123	 0	487134518 
09:44:56:	124	 0	487134518 
09:44:56:	125	 0	508034628 
09:44:56:	126	 0	508034628 
09:44:56:	127	 0	508034628 
09:44:56:	128	 0	508034628 
09:44:56:	129	 0	508034628 
09:44:56:	130	 0	527577817 
09:44:56:	131	 0	528685616 
09:44:57:	132	 0	528685616 
09:44:57:	133	 0	528685616 
09:44:57:	134	 0	528685616 
09:44:57:	135	 0	548114849 
09:44:57:	136	 0	548114849 
09:44:57:	137	 0	548114849 
09:44:57:	138	 0	548114849 
09:44:57:	139	 0	548114849 
09:44:57:	140	 0	569271552 
09:44:57:	141	 0	569271552 
09:44:57:	142	 0	569271552 
09:44:57:	143	 0	569271552 
09:44:57:	144	 0	569271552 
09:44:57:	145	 0	589449241 
09:44:57:	146	 0	590527434 
09:44:57:	147	 0	590527434 
09:44:57:	148	 0	590527434 
09:44:57:	149	 0	590527434 
09:44:58:	150	 0	609786368 
09:44:58:	151	 0	609786368 
09:44:58:	152	 0	609786368 
09:44:58:	153	 0	609786368 
09:44:58:	154	 0	609786368 
09:44:58:	155	 0	630926388 
09:44:58:	156	 0	630926388 
09:44:58:	157	 0	630926388 
09:44:58:	158	 0	630926388 
09:44:58:	159	 0	630926388 
09:44:58:	160	 0	651793156 
09:44:58:	161	 0	651793156 
09:44:58:	162	 0	651793156 
09:44:58:	163	 0	651793156 
09:44:58:	164	 0	651793156 
09:44:58:	165	 0	672086390 
09:44:58:	166	 0	672086390 
09:44:59:	167	 0	672086390 
09:44:59:	168	 0	672086390 
09:44:59:	169	 0	672086390 
09:44:59:	170	 0	692945068 
09:44:59:	171	 0	692945068 
09:44:59:	172	 0	692945068 
09:44:59:	173	 0	692945068 
09:44:59:	174	 0	692945068 
09:44:59:	175	 0	713939723 
09:44:59:	176	 0	713939723 
09:44:59:	177	 0	713939723 
09:44:59:	178	 0	713939723 
09:44:59:	179	 0	713939723 
09:44:59:	180	 0	734341785 
09:44:59:	181	 0	734341785 
09:44:59:	182	 0	734341785 
09:44:59:	183	 0	734341785 
09:44:59:	184	 0	734341785 
09:45:00:	185	 0	754774757 
09:45:00:	186	 0	754774757 
09:45:00:	187	 0	754774757 
09:45:00:	188	 0	754774757 
09:45:00:	189	 0	754774757 
09:45:00:	190	 0	775704650 
09:45:00:	191	 0	775704650 
09:45:00:	192	 0	775704650 
09:45:00:	193	 0	775704650 
09:45:00:	194	 0	775704650 
09:45:00:	195	 0	796182466 
09:45:00:	196	 0	796182466 
09:45:00:	197	 0	796182466 
09:45:00:	198	 0	796182466 
09:45:00:	199	 0	796182466 
09:45:00:	200	 0	816664438 
09:45:00:	201	 0	816664438 
09:45:00:	202	 0	816664438 
09:45:01:	203	 0	816664438 
09:45:01:	204	 0	816664438 
09:45:01:	205	 0	838208582 
09:45:01:	206	 0	838208582 
09:45:01:	207	 0	838208582 
09:45:01:	208	 0	838208582 
09:45:01:	209	 0	838208582 
09:45:01:	210	 0	859039877 
09:45:01:	211	 0	859039877 
09:45:01:	212	 0	859039877 
09:45:01:	213	 0	859039877 
09:45:01:	214	 0	859039877 
09:45:01:	215	 0	879291886 
09:45:01:	216	 0	879291886 
09:45:01:	217	 0	879291886 
09:45:01:	218	 0	879291886 
09:45:01:	219	 0	879291886 
09:45:01:	220	 0	900486525 
09:45:02:	221	 0	900486525 
09:45:02:	222	 0	900486525 
09:45:02:	223	 0	900486525 
09:45:02:	224	 0	900486525 
09:45:02:	225	 0	921502985 
09:45:02:	226	 0	921502985 
09:45:02:	227	 0	921502985 
09:45:02:	228	 0	921502985 
09:45:02:	229	 0	921502985 
09:45:02:	230	 0	941915904 
09:45:02:	231	 0	941915904 
09:45:02:	232	 0	941915904 
09:45:02:	233	 0	941915904 
09:45:02:	234	 0	941915904 
09:45:02:	235	 0	962849890 
09:45:02:	236	 0	962849890 
09:45:02:	237	 0	962849890 
09:45:03:	238	 0	962849890 
09:45:03:	239	 0	962849890 
09:45:03:	240	 0	983875103 
09:45:03:	241	 0	983875103 
09:45:03:	242	 0	983875103 
09:45:03:	243	 0	983875103 
09:45:03:	244	 0	983875103 
09:45:03:	245	 0	1004212666 
09:45:03:	246	 0	1004212666 
09:45:03:	247	 0	1004212666 
09:45:03:	248	 0	1004212666 
09:45:03:	249	 0	1004212666 
09:45:03:	250	 0	1024633818 
09:45:03:	251	 0	1024633818 
09:45:03:	252	 0	1024633818 
09:45:03:	253	 0	1024633818 
09:45:03:	254	 0	1024633818 
09:45:03:	255	 0	1045395049 
09:45:04:	256	 0	1045395049 
09:45:04:	257	 0	1045395049 
09:45:04:	258	 0	1045395049 
09:45:04:	259	 0	1045395049 
09:45:04:	260	 0	1066069398 
09:45:04:	261	 0	1066069398 
09:45:04:	262	 0	1066069398 
09:45:04:	263	 0	1066069398 
09:45:04:	264	 0	1066069398 
09:45:04:	265	 0	1086106820 
09:45:04:	266	 0	1087135874 
09:45:04:	267	 0	1087135874 
09:45:04:	268	 0	1087135874 
09:45:04:	269	 0	1087135874 
09:45:04:	270	 0	1106746353 
09:45:04:	271	 0	1106746353 
09:45:04:	272	 0	1106746353 
09:45:04:	273	 0	1106746353 
09:45:05:	274	 0	1106746353 
09:45:05:	275	 0	1127155432 
09:45:05:	276	 0	1127155432 
09:45:05:	277	 0	1127155432 
09:45:05:	278	 0	1127155432 
09:45:05:	279	 0	1127155432 
09:45:05:	280	 0	1147723478 
09:45:05:	281	 0	1147723478 
09:45:05:	282	 0	1147723478 
09:45:05:	283	 0	1147723478 
09:45:05:	284	 0	1147723478 
09:45:05:	285	 0	1168875365 
09:45:05:	286	 0	1168875365 
09:45:05:	287	 0	1168875365 
09:45:05:	288	 0	1168875365 
09:45:05:	289	 0	1168875365 
09:45:05:	290	 0	1190221625 
09:45:05:	291	 0	1190221625 
09:45:06:	292	 0	1190221625 
09:45:06:	293	 0	1190221625 
09:45:06:	294	 0	1190221625 
09:45:06:	295	 0	1210076970 
09:45:06:	296	 0	1211152435 
09:45:06:	297	 0	1211152435 
09:45:06:	298	 0	1211152435 
09:45:06:	299	 0	1211152435 
09:45:06:	300	 0	1230356085 
09:45:06:	301	 0	1230356085 
09:45:06:	302	 0	1230356085 
09:45:06:	303	 0	1230356085 
09:45:06:	304	 0	1230356085 
09:45:06:	305	 0	1251136409 
09:45:06:	306	 0	1251136409 
09:45:06:	307	 0	1251136409 
09:45:06:	308	 0	1251136409 
09:45:06:	309	 0	1251136409 
09:45:07:	310	 0	1271739559 
09:45:07:	311	 0	1271739559 
09:45:07:	312	 0	1271739559 
09:45:07:	313	 0	1271739559 
09:45:07:	314	 0	1271739559 
09:45:07:	315	 0	1292136151 
09:45:07:	316	 0	1292136151 
09:45:07:	317	 0	1292136151 
09:45:07:	318	 0	1292136151 
09:45:07:	319	 0	1292136151 
09:45:07:	320	 0	1313358523 
09:45:07:	321	 0	1313358523 
09:45:07:	322	 0	1313358523 
09:45:07:	323	 0	1313358523 
09:45:07:	324	 0	1313358523 
09:45:07:	325	 0	1333956106 
09:45:07:	326	 0	1333956106 
09:45:07:	327	 0	1333956106 
09:45:08:	328	 0	1333956106 
09:45:08:	329	 0	1333956106 
09:45:08:	330	 0	1353919656 
09:45:08:	331	 0	1354971922 
09:45:08:	332	 0	1354971922 
09:45:08:	333	 0	1354971922 
09:45:08:	334	 0	1354971922 
09:45:08:	335	 0	1354971922 
09:45:08:	336	 0	1375825365 
09:45:08:	337	 0	1375825365 
09:45:08:	338	 0	1375825365 
09:45:08:	339	 0	1375825365 
09:45:08:	340	 0	1375825365 
09:45:08:	341	 0	1396961159 
09:45:08:	342	 0	1396961159 
09:45:08:	343	 0	1396961159 
09:45:08:	344	 0	1396961159 
09:45:08:	345	 0	1396961159 
09:45:09:	346	 0	1417124567 
09:45:09:	347	 0	1417124567 
09:45:09:	348	 0	1417124567 
09:45:09:	349	 0	1417124567 
09:45:09:	350	 0	1417124567 
09:45:09:	351	 0	1437640650 
09:45:09:	352	 0	1437640650 
09:45:09:	353	 0	1437640650 
09:45:09:	354	 0	1437640650 
09:45:09:	355	 0	1437640650 
09:45:09:	356	 0	1457531504 
09:45:09:	357	 0	1458535265 
09:45:09:	358	 0	1458535265 
09:45:09:	359	 0	1458535265 
09:45:09:	360	 0	1458535265 
09:45:09:	361	 0	1477469357 
09:45:09:	362	 0	1477469357 
09:45:09:	363	 0	1477469357 
09:45:10:	364	 0	1477469357 
09:45:10:	365	 0	1477469357 
09:45:10:	366	 0	1498041220 
09:45:10:	367	 0	1498041220 
09:45:10:	368	 0	1498041220 
09:45:10:	369	 0	1498041220 
09:45:10:	370	 0	1498041220 
09:45:10:	371	 0	1519231177 
09:45:10:	372	 0	1519231177 
09:45:10:	373	 0	1519231177 
09:45:10:	374	 0	1519231177 
09:45:10:	375	 0	1519231177 
09:45:10:	376	 0	1539597916 
09:45:10:	377	 0	1539597916 
09:45:10:	378	 0	1539597916 
09:45:10:	379	 0	1539597916 
09:45:10:	380	 0	1539597916 
09:45:10:	381	 0	1559531294 
09:45:10:	382	 0	1560555628 
09:45:11:	383	 0	1560555628 
09:45:11:	384	 0	1560555628 
09:45:11:	385	 0	1560555628 
09:45:11:	386	 0	1580091166 
09:45:11:	387	 0	1580091166 
09:45:11:	388	 0	1580091166 
09:45:11:	389	 0	1580091166 
09:45:11:	390	 0	1580091166 
09:45:11:	391	 0	1600384612 
09:45:11:	392	 0	1601433904 
09:45:11:	393	 0	1601433904 
09:45:11:	394	 0	1601433904 
09:45:11:	395	 0	1601433904 
09:45:11:	396	 0	1620432513 
09:45:11:	397	 0	1620432513 
09:45:11:	398	 0	1620432513 
09:45:11:	399	 0	1620432513 
09:45:12:	400	 0	1620432513 
09:45:12:	401	 0	1641216794 
09:45:12:	402	 0	1641216794 
09:45:12:	403	 0	1641216794 
09:45:12:	404	 0	1641216794 
09:45:12:	405	 0	1641216794 
09:45:12:	406	 0	1662193517 
09:45:12:	407	 0	1662193517 
09:45:12:	408	 0	1662193517 
09:45:12:	409	 0	1662193517 
09:45:12:	410	 0	1662193517 
09:45:12:	411	 0	1682026474 
09:45:12:	412	 0	1683094169 




09:44:37: IAR Embedded Workbench 9.20.1 (C:\Program Files\IAR Systems\arm_9201-Embedded Workbench 9.0\arm\bin\armPROC.dll) 
09:44:37: Loaded macro file: C:\Program Files\IAR Systems\arm_9201-Embedded Workbench 9.0\arm\config\debugger\NXP\LPC21xx_LPC22xx.dmac 
09:44:37: Loaded macro file: C:\Users\boe\Documents\boe\sprak-git\c\FreeRTOS\FreeRTOS\Demo\ARM7_LPC2129_IAR\dbg2.mac 
09:44:38: JLINK command: ProjectFile = C:\Users\boe\Documents\boe\sprak-git\c\FreeRTOS\FreeRTOS\Demo\ARM7_LPC2129_IAR\settings\rtosdemo_Flash	
rn = 0 
09:44:38: Device "LPC2138" selected. 
09:44:38: DLL version: V7.56d, compiled Oct 29 2021 14:01:36 
09:44:38: Firmware: J-Link compiled Jul 30 2008 11:24:37 ARM Rev.5 
09:44:38: JTAG speed is initially set to: 32 kHz 
09:44:38: TotalIRLen = 4, IRPrint = 0x01 
09:44:38: JTAG chain detection found 1 devices: 
09:44:38:	#0 Id: 0x4F1F0F0F, IRLen: 04, ARM7TDMI-S Core 
09:44:38: Hardware reset with strategy 9 was performed 
09:44:38: Initial reset was performed 
09:44:38: Found 1 JTAG device, Total IRLen = 4: 
09:44:38:	#0 Id: 0x4F1F0F0F, IRLen:	4, IRPrint: 0x1 ARM7TDMI-S Core 
09:44:38: J-Link found 1 JTAG device(s). ARM core Id: 4F1F0F0F ARM7 
09:44:38: ETM V1.2 
09:44:38: Loaded debugee: C:\Users\boe\Documents\boe\sprak-git\c\FreeRTOS\FreeRTOS\Demo\ARM7_LPC2129_IAR\Flash_Debug\Exe\rtosdemo.out 
09:44:39: RTCK reaction time is approx. 189ns 
09:44:39: Auto JTAG speed: Adaptive 
09:44:39: J-Link: Flash download: Bank 0 @ 0x00000000: 1 range affected (8192 bytes) 
09:44:39: J-Link: Flash download: Total: 0.966s (Prepare: 0.500s, Compare: 0.024s, Erase: 0.236s, Program & Verify: 0.148s, Restore: 0.056s) 
